1028:16,scr_encountersetup_slash_scr_encountersetup_gml_1497_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2461_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2473_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2474_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2477_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2478_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2483_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2486_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2489_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2492_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2495_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2497_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2501_0
1028:17,scr_monstersetup_slash_scr_monstersetup_gml_2503_0
1028:27,obj_titan_spawn_enemy_slash_Step_0_gml_131_0
1028:46,obj_titan_spawn_enemy_slash_Step_0_gml_166_0
1028:48,obj_titan_spawn_enemy_slash_Step_0_gml_133_0
1029:7,obj_titan_spawn_enemy_slash_Step_0_gml_132_0
1029:24,obj_titan_spawn_enemy_slash_Step_0_gml_130_0
1029:36,obj_titan_spawn_enemy_slash_Step_0_gml_143_0
1029:43,obj_titan_spawn_enemy_slash_Step_0_gml_246_0
1029:51,obj_dw_churchc_titanclimb1_post_slash_Step_0_gml_799_0
1029:51,obj_dw_churchc_titanclimb1_post_slash_Step_0_gml_801_0
1029:51,scr_susface_slash_scr_susface_gml_1_0
1030:12,obj_dw_churchc_titanclimb2_slash_Create_0_gml_33_0
1030:12,obj_dw_churchc_titanclimb2_slash_Create_0_gml_30_0
