425:11,obj_readable_room1_slash_Other_10_gml_2501_0
425:12,scr_text_slash_scr_text_gml_10213_0
425:12,scr_text_slash_scr_text_gml_10214_0
425:12,scr_text_slash_scr_text_gml_10219_0
425:12,scr_text_slash_scr_text_gml_10220_0
425:12,scr_text_slash_scr_text_gml_10221_0
425:12,scr_text_slash_scr_text_gml_10222_0
425:24,scr_text_slash_scr_text_gml_10236_0
425:24,scr_text_slash_scr_text_gml_10237_0
425:24,scr_text_slash_scr_text_gml_10238_0
425:24,scr_text_slash_scr_text_gml_10239_0
425:24,scr_text_slash_scr_text_gml_10240_0
425:24,scr_text_slash_scr_text_gml_10241_0
425:51,scr_text_slash_scr_text_gml_10251_0
425:56,obj_room_green_room_slash_Step_0_gml_20_0
425:56,obj_room_green_room_slash_Step_0_gml_23_0
426:12,obj_readable_room1_slash_Other_10_gml_2370_0
426:29,scr_text_slash_scr_text_gml_8653_0
431:20,obj_savepoint_slash_Other_10_gml_124_0
431:20,obj_savepoint_slash_Other_10_gml_125_0
